    "Content-UUID","URL","Term","Definition","Data-Type","Unit-of-Measure","Category","Sector","Updated-Date"
"c02c53de-cb42-44ca-98ea-f4ec7aeb5344","https://bedes.lbl.gov/node/c02c53de-cb42-44ca-98ea-f4ec7aeb5344","National Median Reference Property Type","The National Median is the median reference point for the premises based on the Commercial Building Energy Consumption Survey (CBECS).
","String","N/A","Premises","Commercial, Multifamily","2019-11-26 17:24:58"
"eff40005-3507-479d-a6ec-1f56519878f1","https://bedes.lbl.gov/node/eff40005-3507-479d-a6ec-1f56519878f1","NREL Wind CLASS","Wind power density (WPD) is a calculation of the mean annual power available per square meter of swept area of a turbine. Classes are defined by NREL. Class specifics can be found at http://www.nrel.gov/gis/wind_detail.html
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c96589bd-0dfc-47a4-b040-11dba49d2ebd","https://bedes.lbl.gov/node/c96589bd-0dfc-47a4-b040-11dba49d2ebd","Occupancy Classification","Utilization of premises by building occupants. Can be used to describe a complex, building, or spaces within the building.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"804b1300-5049-4595-a2e4-6789ef6e3b02","https://bedes.lbl.gov/node/804b1300-5049-4595-a2e4-6789ef6e3b02","Occupant Activity Level","The activity level that drives the amount of internal gains due to occupants.
","Constrained List","N/A","Premises","Commercial","2019-11-26 17:24:58"
"93c2f048-f9c8-4a40-9d0b-bd301033cf15","https://bedes.lbl.gov/node/93c2f048-f9c8-4a40-9d0b-bd301033cf15","Occupant Income Range","Annual income of the household occupants
","Constrained List","N/A","Premises","Residential, Multifamily","2019-11-26 17:28:02"
"0f74ee3f-107b-48dd-878f-8d3a8ee389ca","https://bedes.lbl.gov/node/0f74ee3f-107b-48dd-878f-8d3a8ee389ca","Occupant Quantity Type","Type of quantitative measure for capturing occupant information about the premises. The value is captured by the Quantity term.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"9990e638-f884-446b-9218-c5855a7e7955","https://bedes.lbl.gov/node/9990e638-f884-446b-9218-c5855a7e7955","Occupant Type","Type of occupants who are permanently resident in a premises.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"c96ba8d5-cb5a-4163-8ca7-d62a24b3de34","https://bedes.lbl.gov/node/c96ba8d5-cb5a-4163-8ca7-d62a24b3de34","Occupied Status","The condition of the premises relative to being occupied by people.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"acc27dac-df0b-498d-9877-477ca2db5a53","https://bedes.lbl.gov/node/acc27dac-df0b-498d-9877-477ca2db5a53","Ownership Intention","A list of the type(s) of possible or best uses of the premises. Probable use gives a good indication of what the best use or potential use of the property could be.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"b650665e-a1af-460f-9aa2-e05bb7d06d96","https://bedes.lbl.gov/node/b650665e-a1af-460f-9aa2-e05bb7d06d96","Premises Enclosure","Classification of the enclosure of the premises.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"fba25f46-1fbd-4379-b4fa-5d34884730b0","https://bedes.lbl.gov/node/fba25f46-1fbd-4379-b4fa-5d34884730b0","Premises Level","Level category of the premises with respect to all premises pertaining to a unique record.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"1d4dbd82-f69f-4070-8266-464036ada5e9","https://bedes.lbl.gov/node/1d4dbd82-f69f-4070-8266-464036ada5e9","Presence Of Buried Lines","Indication of whether the site contains buried utility lines.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"291809a7-4ba3-445a-80dc-f7fbd78c763d","https://bedes.lbl.gov/node/291809a7-4ba3-445a-80dc-f7fbd78c763d","Presence Of Septic Tanks And Leach Fields","Indication of whether the site contains a septic tank or leach field.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"476affff-0277-4c88-ab06-cab4b7d972d6","https://bedes.lbl.gov/node/476affff-0277-4c88-ab06-cab4b7d972d6","Radon Zone","The EPA Radon Zone
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"93b49fed-7059-4a77-b31a-f625131b0564","https://bedes.lbl.gov/node/93b49fed-7059-4a77-b31a-f625131b0564","Site Type","Description of surroundings at the site, from the following list:
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad","https://bedes.lbl.gov/node/d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad","Spatial Unit Type","Unit type within the premises.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"75a8ca36-b3da-446e-b533-7d099a04445f","https://bedes.lbl.gov/node/75a8ca36-b3da-446e-b533-7d099a04445f","Tax Annual Amount","The annual property tax amount as of the last assessment made by the taxing authority.
","Decimal","$","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"2e5cf3cd-c5c5-4268-97ee-7da9e0d1f28f","https://bedes.lbl.gov/node/2e5cf3cd-c5c5-4268-97ee-7da9e0d1f28f","Tax Assessed Value","The property value as of the last assessment made by the taxing authority.
","Decimal","$","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"6678ae87-9b1b-4c47-8c5b-20e482d33287","https://bedes.lbl.gov/node/6678ae87-9b1b-4c47-8c5b-20e482d33287","Tax Exemptions","A list of tax exemptions as they relate to the property.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"0707002a-2bf0-46f3-a2c2-ba8f019ca97e","https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e","Tax Other Assessment Amount","Any other annual taxes, not including the tax reported in the Tax Annual Amount field, as of the last assessment made by the taxing authority.
","Decimal","$","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"c1123bc1-53d0-4ada-aa2e-9cb8ae586808","https://bedes.lbl.gov/node/c1123bc1-53d0-4ada-aa2e-9cb8ae586808","Tax Status Current","The current tax status of the mobile home in cases where the land or space is included in the sale.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"03fbc9c5-b354-43fd-a259-b12d7c5d1489","https://bedes.lbl.gov/node/03fbc9c5-b354-43fd-a259-b12d7c5d1489","Tax Year","The year in with the last assessment of the property value/tax was made.
","TimeStamp","YYYY","Premises","Commercial, Residential, Multifamily","2019-12-06 11:36:17"
"27715dfa-9253-4b5c-b1bf-0a6c6501afb2","https://bedes.lbl.gov/node/27715dfa-9253-4b5c-b1bf-0a6c6501afb2","Termite Zone","Zone in the United States which designates the probability of a particular location being susceptible to termite infestations. From the IECC ""Termite Infestation Probability Map"".
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"8c2a4ab0-a535-41d9-89f7-d963a3dd4689","https://bedes.lbl.gov/node/8c2a4ab0-a535-41d9-89f7-d963a3dd4689","Tractor Trencher Accessible","Indication of whether the site allows access for a tractor or trenching equipment.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"f26f17e9-030f-4771-9bc5-710ce3385f3a","https://bedes.lbl.gov/node/f26f17e9-030f-4771-9bc5-710ce3385f3a","Type Of Public Transportation","If the Distance to Public Transportation term is used, this term can be used to describe in more detail the type of public transportation .
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"09f7f820-283f-4e88-9d02-0c0a24a5301b","https://bedes.lbl.gov/node/09f7f820-283f-4e88-9d02-0c0a24a5301b","Walking Score","A walkability index based on the time to walk from a property to nearby essentials such as grocery stores, schools, churches, etc. See www.walkscore.com for more information and requirements for using WalkScore.
","Integer","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"8b608e50-79c8-45ec-b601-e0c20099072e","https://bedes.lbl.gov/node/8b608e50-79c8-45ec-b601-e0c20099072e","Water Fixture Type","A water fixture is an exchangeable device which can be connected to a plumbing system to deliver and drain water.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"5a78c1d5-cdbe-488b-9354-43e278502f90","https://bedes.lbl.gov/node/5a78c1d5-cdbe-488b-9354-43e278502f90","Water Metered Premises","Designation of what areas within the premises are covered by water meters.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"9bcb413f-f100-4f77-953c-5ebdad916148","https://bedes.lbl.gov/node/9bcb413f-f100-4f77-953c-5ebdad916148","Weather Data Station ID","For an actual weather station, this is the ID assigned by NOAA. For hourly energy simulations, this is the six digit code associated with the hourly weather data, generally found in the name of the weather data file, as well as in the header of the data file.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"fc5a3265-cea2-4b9c-b594-7f55f3b2bbe5","https://bedes.lbl.gov/node/fc5a3265-cea2-4b9c-b594-7f55f3b2bbe5","Weather Data Type","For hourly energy simulations, the type of data used in the hourly weather data. This information is generally found in the name of the weather data file, as well as in the header of the data file. In the United States, the normal type of data is Typical Meteorological Year (TMY), which represent a year of typical climatic conditions for a location. The data set is composed of 12 months of typical meteorological data concatenated to form a single year with a complete data set for primary measurements. The monthly data sets contain actual meteorological measurements and modeled solar values.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"5d3f7113-5e9b-4a66-b276-0577af6d68dc","https://bedes.lbl.gov/node/5d3f7113-5e9b-4a66-b276-0577af6d68dc","Weather Metric","Metric related to weather.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"2a66e04e-69ca-4167-ae33-37fdf4388cfc","https://bedes.lbl.gov/node/2a66e04e-69ca-4167-ae33-37fdf4388cfc","Weather Metric Value","Value for the weather metric.
","Decimal","","Premises","Commercial, Residential, Multifamily","2019-12-12 10:43:55"
"93778e60-f5c0-450e-bfee-f0ff60085678","https://bedes.lbl.gov/node/93778e60-f5c0-450e-bfee-f0ff60085678","Weather Station Category","Describes the type of weather station used to specify the site's weather.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"848b9da6-495b-4d9d-85a5-29bf95733a73","https://bedes.lbl.gov/node/848b9da6-495b-4d9d-85a5-29bf95733a73","Weather Station Name","The name of the weather station associated with this premises, which could be used for simulations, weather normalization, anomaly resolution, etc. For simulations, this is usually the name of the weather file, but the name is also in the header of the data file (TMY, IWEC), such as USA_CO_Denver.Intl.AP.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"52bf6a65-c6ec-47eb-8816-75c77ba06ce5","https://bedes.lbl.gov/node/52bf6a65-c6ec-47eb-8816-75c77ba06ce5","Account Status","The status of customer's account or application. Example: the building profile submission process for Portfolio Manager.
","Constrained List","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"9ae91208-70a6-4fe4-b486-166eadb219f7","https://bedes.lbl.gov/node/9ae91208-70a6-4fe4-b486-166eadb219f7","Address Label","Characterization of the address
","Constrained List","N/A","Contact","","2019-11-26 17:28:02"
"fb47f332-4c38-438a-8ee6-6054b288438e","https://bedes.lbl.gov/node/fb47f332-4c38-438a-8ee6-6054b288438e","Address Line 1","This address represents a complete street address, including street number, street name, prefixes, suffixes, modifiers, and unit number.
","String","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"895de964-9ef0-4c3b-a190-48dcf9aeb79d","https://bedes.lbl.gov/node/895de964-9ef0-4c3b-a190-48dcf9aeb79d","Address Line 2","Information other than a prefix or suffix for the street portion of a postal address.
","String","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"a2330c7a-2740-43c2-8296-5a02c610bd64","https://bedes.lbl.gov/node/a2330c7a-2740-43c2-8296-5a02c610bd64","Address Number","The numeric identifier for a land parcel, house, building, or other location along a thoroughfare or within a community.
","Integer","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"20d0e1bb-7e0b-49eb-8feb-2af63d61b505","https://bedes.lbl.gov/node/20d0e1bb-7e0b-49eb-8feb-2af63d61b505","Address Number Prefix","The portion of the complete address number which precedes the Address Number itself.
","String","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"6e683f24-b812-4dc8-b143-7efd4b43eb1b","https://bedes.lbl.gov/node/6e683f24-b812-4dc8-b143-7efd4b43eb1b","Address Number Suffix","The portion of the complete address number which follows the Address Number itself. In some areas the street number may contain non-numeric characters. This field can also contain extensions and modifiers to the street number, such as ""1/2"" or ""-B"". This street number field should not include Prefixes, Direction or Suffixes.
","String","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"3f07e332-5c6c-4697-b20c-25ab8812408c","https://bedes.lbl.gov/node/3f07e332-5c6c-4697-b20c-25ab8812408c","Address Separator Element","A symbol, word, or phrase used as a separator between components of a complex element or class. The separator is required for intersection addresses and for two number address ranges, and it may be used in constructing a complete address name. Example separator elements are: ""and"", ""at"", ""@"", ""&"", ""-"", ""/"". Can also include prepositional phrases like in ""Avenue of the Americas"", the Address Separator Element = ""of the"".
","String","N/A","Contact","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
