    "Content-UUID","URL","List-Option","List-Option-Definition","Unit-of-Measure","Related-Term","Related-Term-UUID","Sector","Updated-Date"
"cfe7901f-5696-41b4-a754-b5dee98f8c96","https://bedes.lbl.gov/node/cfe7901f-5696-41b4-a754-b5dee98f8c96","1 minute","","N/A","Interval Frequency","9cd35067-eb88-44a5-9379-402792d71572","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"bc2eb964-e75c-48c9-8e24-5874d5356bda","https://bedes.lbl.gov/node/bc2eb964-e75c-48c9-8e24-5874d5356bda","1 pipe","","N/A","Pipe Configuration","d70f02a9-28ad-406c-8c72-f48484c77530","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"8ab4ea20-01ec-4af4-8cdf-fe25f7975684","https://bedes.lbl.gov/node/8ab4ea20-01ec-4af4-8cdf-fe25f7975684","10","California Title 24 representative city of Riverside.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"d7f20688-3126-40ac-a1fa-e13d49096fb1","https://bedes.lbl.gov/node/d7f20688-3126-40ac-a1fa-e13d49096fb1","10 meters","","N/A","Class Height","d0de2bc2-523d-4adf-bb04-0ccb5176b68e","Commercial, Residential, Multifamily","2019-11-26 17:12:28"
"c47370ce-c460-4142-808a-937d010a3f00","https://bedes.lbl.gov/node/c47370ce-c460-4142-808a-937d010a3f00","10 minute","","N/A","Interval Frequency","9cd35067-eb88-44a5-9379-402792d71572","Commercial, Residential, Multifamily","2019-11-26 17:09:08"
"c08028fc-d59a-4a26-b218-61ae1463e82e","https://bedes.lbl.gov/node/c08028fc-d59a-4a26-b218-61ae1463e82e","11","California Title 24 representative city of Red Bluff.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"6bc4bfe7-b0e5-4bc8-9b8b-35639309c48c","https://bedes.lbl.gov/node/6bc4bfe7-b0e5-4bc8-9b8b-35639309c48c","12","California Title 24 representative city of Sacramento.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"e7c6bc08-4614-462c-9072-2e87699385eb","https://bedes.lbl.gov/node/e7c6bc08-4614-462c-9072-2e87699385eb","13","California Title 24 representative city of Fresno.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"0e9fb3d2-4b8d-4e1e-8f76-9eb1ce4a81b4","https://bedes.lbl.gov/node/0e9fb3d2-4b8d-4e1e-8f76-9eb1ce4a81b4","14","California Title 24 representative city of China Lake.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"f8d47b3f-2750-4524-89a2-f63fca018709","https://bedes.lbl.gov/node/f8d47b3f-2750-4524-89a2-f63fca018709","15","California Title 24 representative city of El Centro.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"6e3f73e4-dd13-41b7-8290-9060b5711efc","https://bedes.lbl.gov/node/6e3f73e4-dd13-41b7-8290-9060b5711efc","15 minute","","N/A","Interval Frequency","9cd35067-eb88-44a5-9379-402792d71572","Commercial, Residential, Multifamily","2019-11-26 17:09:08"
"14168769-f399-424d-bfc4-c0dc639ac7e7","https://bedes.lbl.gov/node/14168769-f399-424d-bfc4-c0dc639ac7e7","16","California Title 24 representative city of Mount Shasta.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"51b9fef8-c81f-4348-87b8-962c4ed3e04d","https://bedes.lbl.gov/node/51b9fef8-c81f-4348-87b8-962c4ed3e04d","1A","ASHRAE. Very hot and humid. 9000 < CDD50F","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"69a32b49-275b-4a7b-b9ba-9f02a9b42096","https://bedes.lbl.gov/node/69a32b49-275b-4a7b-b9ba-9f02a9b42096","1B","ASHRAE. Very hot and dry. 9000 < CDD50F","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"91eefb9a-ee66-4824-9504-6f02eb2b7c53","https://bedes.lbl.gov/node/91eefb9a-ee66-4824-9504-6f02eb2b7c53","1x4","1ft by 4ft","n/a","Luminaire Configuration","1f06b5b8-b892-41c8-bf73-057adbbc9bf8","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"c93c15d4-97ee-4f03-bf51-f988e3a760c7","https://bedes.lbl.gov/node/c93c15d4-97ee-4f03-bf51-f988e3a760c7","2","California Title 24 representative city of Santa Rosa. IECC Zone. CBECS zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"1dffe66c-f627-44e4-9aa1-71157cef5e07","https://bedes.lbl.gov/node/1dffe66c-f627-44e4-9aa1-71157cef5e07","2","At 10 m: WPD: 100-150 W/m^2; Speed: 4.4-5.1 m/s. At 50 m: WPD: 200-300 W/m^2; Speed: 5.6-6.4 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"3c4311ba-e1b2-48a7-92f6-5d8e8eb0f742","https://bedes.lbl.gov/node/3c4311ba-e1b2-48a7-92f6-5d8e8eb0f742","2 pipe","","N/A","Pipe Configuration","d70f02a9-28ad-406c-8c72-f48484c77530","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"25039e74-0936-4475-8683-81ba293b7107","https://bedes.lbl.gov/node/25039e74-0936-4475-8683-81ba293b7107","2A","ASHRAE. Hot and humid. 6300 < CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77","https://bedes.lbl.gov/node/2d84c8a9-b9be-486f-8f0a-c3f6d9d89f77","2B","ASHRAE. Hot and dry. 6300 < CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"cdd836f3-ccbf-4c23-90a4-a597f17721c6","https://bedes.lbl.gov/node/cdd836f3-ccbf-4c23-90a4-a597f17721c6","2D","2D are Compact Fluorescent Lamps (CFLS) that share uniform light with a unique shape. The lamps are named for their look as they resemble the backs of two ""D""s joined together.","n/a","Lamp Type","b0b0b5fb-2906-40a2-9125-b701d38ae570","Commercial, Residential, Multifamily","2019-11-26 17:09:08"
"4ed29e3d-9612-4940-b0d8-08caf9a4edd8","https://bedes.lbl.gov/node/4ed29e3d-9612-4940-b0d8-08caf9a4edd8","2N","2N means two times the capacity required for operation. Two units of equal size, capabilities, and capacity.","N/A","Equipment Redundancy","19b50003-e146-4828-83b2-f4947a2928ae","Commercial, Multifamily","2019-11-26 17:07:14"
"b355dea5-2840-4621-8e8e-15cefbdb9efb","https://bedes.lbl.gov/node/b355dea5-2840-4621-8e8e-15cefbdb9efb","2x2","2ft by 2ft","n/a","Luminaire Configuration","1f06b5b8-b892-41c8-bf73-057adbbc9bf8","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"e11387c6-49f9-402c-ad45-93192b665002","https://bedes.lbl.gov/node/e11387c6-49f9-402c-ad45-93192b665002","2x4","2ft by 4ft","n/a","Luminaire Configuration","1f06b5b8-b892-41c8-bf73-057adbbc9bf8","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"1ae095b2-299b-484a-ad9b-33ac7afe4e98","https://bedes.lbl.gov/node/1ae095b2-299b-484a-ad9b-33ac7afe4e98","3","At 10 m: WPD: 150-200 W/m^2; Speed: 5.1-5.6 m/s. At 50 m: WPD: 300-400 W/m^2; Speed: 6.4-7.0 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"5fadc1df-d7d9-4328-ba24-93306ba9f82a","https://bedes.lbl.gov/node/5fadc1df-d7d9-4328-ba24-93306ba9f82a","3","California Title 24 representative city of Oakland. IECC Zone. CBECS zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"70008799-c34b-4e18-b8d8-f59675f0a0aa","https://bedes.lbl.gov/node/70008799-c34b-4e18-b8d8-f59675f0a0aa","3 pipe","","N/A","Pipe Configuration","d70f02a9-28ad-406c-8c72-f48484c77530","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"7d003cdc-de4b-43c8-bc96-17aeb7c01dd7","https://bedes.lbl.gov/node/7d003cdc-de4b-43c8-bc96-17aeb7c01dd7","30 minute","","N/A","Interval Frequency","9cd35067-eb88-44a5-9379-402792d71572","Commercial, Residential, Multifamily","2019-11-26 17:09:08"
"b3e632c1-56aa-4944-964f-5973ef978fdb","https://bedes.lbl.gov/node/b3e632c1-56aa-4944-964f-5973ef978fdb","3A","ASHRAE. Warm and humid. 4500 < CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"8a917ae0-48fb-42e3-8006-ee3b1fa4453c","https://bedes.lbl.gov/node/8a917ae0-48fb-42e3-8006-ee3b1fa4453c","3B","ASHRAE. Warm and dry. 4500 < CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"90fa882c-ddbb-4851-9f53-1f27c684f41a","https://bedes.lbl.gov/node/90fa882c-ddbb-4851-9f53-1f27c684f41a","3C","ASHRAE. Warm marine. CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"d6b3b62e-43b2-41c4-9af0-62eb8e28ee91","https://bedes.lbl.gov/node/d6b3b62e-43b2-41c4-9af0-62eb8e28ee91","4","At 10 m: WPD: 200-250 W/m^2; Speed: 5.6-6.0 m/s. At 50 m: WPD: 400-500 W/m^2; Speed: 7.0-7.5 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"49ed1dd1-c8ff-4fbe-816d-07359feb5075","https://bedes.lbl.gov/node/49ed1dd1-c8ff-4fbe-816d-07359feb5075","4","California Title 24 representative city of Sunnyvale. CBECS zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"60e39920-0211-403c-aa10-fe99f759c6a2","https://bedes.lbl.gov/node/60e39920-0211-403c-aa10-fe99f759c6a2","4 except marine","IECC Zone","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"6b6566a4-813a-4d4b-80cf-5420fa29a7d2","https://bedes.lbl.gov/node/6b6566a4-813a-4d4b-80cf-5420fa29a7d2","4 marine","IECC Zone","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"53782272-cee0-4f44-b986-a22e935fbeb3","https://bedes.lbl.gov/node/53782272-cee0-4f44-b986-a22e935fbeb3","4 pipe","","N/A","Pipe Configuration","d70f02a9-28ad-406c-8c72-f48484c77530","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"01fbc36e-50ab-42b5-859b-02eb38f50343","https://bedes.lbl.gov/node/01fbc36e-50ab-42b5-859b-02eb38f50343","4A","ASHRAE. Mixed and humid. CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"39d00a23-7f84-4550-b805-54aa989c3c9a","https://bedes.lbl.gov/node/39d00a23-7f84-4550-b805-54aa989c3c9a","4B","ASHRAE. Mixed and dry. CDD50F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"80910b55-f3b8-4493-8765-91e31bf21d60","https://bedes.lbl.gov/node/80910b55-f3b8-4493-8765-91e31bf21d60","4C","ASHRAE. Mixed marine. 3600 ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"b1ee9d65-fd4e-4866-b50c-26c96b67ca6b","https://bedes.lbl.gov/node/b1ee9d65-fd4e-4866-b50c-26c96b67ca6b","5","At 10 m: WPD: 250-300 W/m^2; Speed: 6.0-6.4 m/s. At 50 m: WPD: 500-600 W/m^2; Speed: 7.5-8.0 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"a989a284-d242-41db-92b2-f2e166cd8a75","https://bedes.lbl.gov/node/a989a284-d242-41db-92b2-f2e166cd8a75","5","California Title 24 representative city of Santa Marina. IECC Zone. CBECS zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"ff4e29c9-3164-4b55-a6df-05b2d5e223e3","https://bedes.lbl.gov/node/ff4e29c9-3164-4b55-a6df-05b2d5e223e3","50 meters","","N/A","Class Height","d0de2bc2-523d-4adf-bb04-0ccb5176b68e","Commercial, Residential, Multifamily","2019-11-26 17:12:28"
"c4a889b8-b379-4f97-83ba-ba6b21e3f37c","https://bedes.lbl.gov/node/c4a889b8-b379-4f97-83ba-ba6b21e3f37c","5A","ASHRAE. Cool and humid. 5400 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"815a32a1-a751-45de-9565-f90e7e6eb54a","https://bedes.lbl.gov/node/815a32a1-a751-45de-9565-f90e7e6eb54a","5B","ASHRAE. Cool and dry. 5400 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"303c44c3-3a21-4633-b43a-0721756900ad","https://bedes.lbl.gov/node/303c44c3-3a21-4633-b43a-0721756900ad","5C","ASHRAE. Cool marine. 5400 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"b15395cb-50b5-4536-97c7-533988d35375","https://bedes.lbl.gov/node/b15395cb-50b5-4536-97c7-533988d35375","6","At 10 m: WPD: 300-400 W/m^2; Speed: 6.4-7.0 m/s. At 50 m: WPD: 600-800 W/m^2; Speed: 8.0-8.8 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"50db75f3-a69b-4a8c-96c3-daed909445b0","https://bedes.lbl.gov/node/50db75f3-a69b-4a8c-96c3-daed909445b0","6","California Title 24 representative city of Los Angeles. IECC Zone","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"9584e8aa-5db2-43d7-976c-edec745d42e8","https://bedes.lbl.gov/node/9584e8aa-5db2-43d7-976c-edec745d42e8","6A","ASHRAE. Cold and humid. 7200 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"01f71fd6-5285-45a7-ba8b-f622676a1611","https://bedes.lbl.gov/node/01f71fd6-5285-45a7-ba8b-f622676a1611","6B","ASHRAE. Cold and dry. 7200 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"38e04aa1-b194-4b35-94fa-29c722f8997e","https://bedes.lbl.gov/node/38e04aa1-b194-4b35-94fa-29c722f8997e","7","ASHRAE. Very cold. 9000 < HDD65F ","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"02037f8d-984e-4cba-ae45-3f12f5355725","https://bedes.lbl.gov/node/02037f8d-984e-4cba-ae45-3f12f5355725","7","At 10 m: WPD: 400-1000 W/m^2; Speed: 7.0-9.4 m/s. At 50 m: WPD: 800-2000 W/m^2; Speed: 8.8-11.9 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"4a379f63-0bb5-4cb5-a04a-8f7269f0d723","https://bedes.lbl.gov/node/4a379f63-0bb5-4cb5-a04a-8f7269f0d723","8","ASHRAE. Subarctic. 12600 < HDD65F. California Title 24 representative city of El Toro. IECC Zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"2ac6e970-e901-47df-81df-44249a542bfb","https://bedes.lbl.gov/node/2ac6e970-e901-47df-81df-44249a542bfb","9","California Title 24 representative city of Pasadena.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"01a1dd66-ce54-4fad-abf0-c49909cc898f","https://bedes.lbl.gov/node/01a1dd66-ce54-4fad-abf0-c49909cc898f","A","amperes","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"cf2d9f22-c97a-4995-bd54-6bd2e61c72d7","https://bedes.lbl.gov/node/cf2d9f22-c97a-4995-bd54-6bd2e61c72d7","A la carte","A battery charger that is individually packaged without batteries. Batteries that the a la carte charger is designed to charge should be listed on the packaging, battery, and/or in printed or electronic user information materials. A la carte chargers may have multi-voltage or multi-port capability.","N/A","Battery Charger Type","3570d52f-ad8f-4ea4-9aee-943b75fc5091","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"49afa9f0-ae40-47a6-8c0a-fc45c65bf0d1","https://bedes.lbl.gov/node/49afa9f0-ae40-47a6-8c0a-fc45c65bf0d1","A series","The A-series light bulb is the ""classic"" type of light bulb that has been the most commonly used type for general-purpose lighting applications since the early 20th century. It has a pear-like shape and an Edison screw base. The number that follows the ""A"" within the A series indicates the width of the bulb in one-eighth inch units","n/a","Lamp Type","b0b0b5fb-2906-40a2-9125-b701d38ae570","Commercial, Residential, Multifamily","2019-11-26 17:09:08"
"9e3ea0a5-fc93-4feb-a306-c6eb528a5749","https://bedes.lbl.gov/node/9e3ea0a5-fc93-4feb-a306-c6eb528a5749","A19","A19 is the most commonly used A-series light bulb type. It is 19/8 inches (60 mm) wide at its widest point and has a one-inch wide (type E26, i.e. approximately 26 millimetres wide) screw base.","n/a","Lamp Type","b0b0b5fb-2906-40a2-9125-b701d38ae570","Commercial, Multifamily, Residential","2019-11-26 17:24:58"
"06e2bbc7-f570-4105-b9e1-6a1d06c3db56","https://bedes.lbl.gov/node/06e2bbc7-f570-4105-b9e1-6a1d06c3db56","A21","A21 bulbs are A-series with a diameter of 21/8 inches.","n/a","Lamp Type","b0b0b5fb-2906-40a2-9125-b701d38ae570","Commercial, Multifamily, Residential","2019-11-26 17:24:58"
"86badaa5-6033-4c79-ab77-c563db917fa4","https://bedes.lbl.gov/node/86badaa5-6033-4c79-ab77-c563db917fa4","A23","A23 bulbs are A-series with a diameter of 23/8 inches.","n/a","Lamp Type","b0b0b5fb-2906-40a2-9125-b701d38ae570","Commercial, Multifamily, Residential","2019-11-26 17:24:58"
"74fc3b6b-d449-4d46-a37f-05ec1cc01a42","https://bedes.lbl.gov/node/74fc3b6b-d449-4d46-a37f-05ec1cc01a42","AA","Armed Forces Americas (except Canada)","N/A","State","9a8423a7-0729-4eca-b6b4-4ec39a1f4a5b","Commercial, Residential, Multifamily","2019-11-26 17:12:28"
"c6c79a11-aae1-4643-a7f9-ce2d0b6313aa","https://bedes.lbl.gov/node/c6c79a11-aae1-4643-a7f9-ce2d0b6313aa","Above","Located above some other element (e.g., ceiling, floor)","N/A","Location","f1f0585d-19da-47e1-824f-6e109fb136c8","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"bd4f1bb5-fce1-4bb5-b412-92861ae4f71c","https://bedes.lbl.gov/node/bd4f1bb5-fce1-4bb5-b412-92861ae4f71c","Above garage","The space above the garage.","n/a","Location","f1f0585d-19da-47e1-824f-6e109fb136c8","Residential, Multifamily","2019-11-26 17:19:17"
"327e74b4-4434-4e8c-8499-2d0c0c17b8b0","https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0","Above grade","Space above the ground level.","n/a","Location","f1f0585d-19da-47e1-824f-6e109fb136c8","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"29ce4721-54aa-46bd-81f0-0f91adeb9a48","https://bedes.lbl.gov/node/29ce4721-54aa-46bd-81f0-0f91adeb9a48","Absorption chiller","","N/A","Cooling Type","c5eca96c-5058-420d-9d80-74696bc84ecb","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
"a66aaab6-f0dd-497b-9296-75524d6abef2","https://bedes.lbl.gov/node/a66aaab6-f0dd-497b-9296-75524d6abef2","AC to AC","An external ac-ac power supply is an EPS designed to convert line voltage ac input into lower voltage ac output.","N/A","External Power Supply Mode","1789ab8b-4e42-4eaf-bae1-8698234c1f92","Commercial","2019-11-26 17:07:16"
"8e4ffa71-32ed-4263-a16b-81916ca5510d","https://bedes.lbl.gov/node/8e4ffa71-32ed-4263-a16b-81916ca5510d","AC to DC","An external ac-dc power supply is an EPS designed to convert line voltage ac input into lower voltage dc output.","N/A","External Power Supply Mode","1789ab8b-4e42-4eaf-bae1-8698234c1f92","Commercial","2019-12-11 14:28:28"
"2f26c727-957c-4288-a12a-236f12b5d2aa","https://bedes.lbl.gov/node/2f26c727-957c-4288-a12a-236f12b5d2aa","Accepted","","n/a","Implementation Status","58965f18-1f76-4d89-ab01-f372396d29ff","","2019-11-26 17:19:17"
